109 8  8
Station_Location: N-S
 -405000  378000  174000   90000   42000   30000  -18000
 -102000  -90000 -102000 -162000 -174000 -234000 -234000
 -306000 -306000 -378000 -378000   54000   30000   18000
   54000  -18000  -30000  -30000  -30000  -30000  -30000
  -30000  -18000  -90000  -90000 -102000  -90000 -102000
 -114000 -102000 -162000 -162000 -198000 -162000 -186000
 -162000 -186000 -174000 -234000 -234000 -258000 -258000
 -258000 -246000 -246000 -246000 -294000 -294000 -318000
 -330000 -318000 -306000 -318000 -318000 -318000 -366000
 -366000 -378000 -390000 -390000 -390000 -378000 -390000
  -90000  354000  390000  378000  294000  294000  294000
  330000  330000  330000  306000  246000  258000  258000
  258000  246000  246000  246000  246000  186000  174000
  198000  198000  186000  186000  186000  174000  126000
  114000  114000  114000  102000  114000  102000  114000
   42000   30000   30000   42000
Station_Location: E-W
 -354000  270000  282000  294000  294000  366000  294000
  258000  318000  405000  246000  318000  258000  330000
  246000  330000  282000  342000 -270000  102000  162000
  210000 -258000 -198000 -102000  -54000   30000   78000
  174000  222000 -318000 -174000 -102000  -30000   30000
  102000  174000 -306000 -270000 -198000 -114000  -18000
   42000  114000  174000 -294000 -246000 -162000 -102000
   -6000   54000  126000  174000 -381000 -282000 -222000
 -150000  -78000  -30000   54000  126000  186000 -306000
 -222000 -162000  -90000  -18000   54000  138000  198000
 -258000 -198000 -150000  186000 -318000 -258000 -150000
 -102000  -18000   42000  198000 -318000 -210000 -126000
  -42000    6000   66000  138000  210000 -306000 -210000
 -150000  -66000    6000   78000  150000  210000 -282000
 -198000 -138000  -66000    6000   66000  150000  222000
 -186000 -114000  -54000    6000
DATA_Period:   102.4000
 -3.2941E-004  5.8831E-006  1.2245E-003 -9.7745E-004 -2.2805E-003  7.7870E-004  5.9182E-005 -6.3680E-005
 -8.2701E-006 -8.2587E-005  1.3773E-004 -6.5537E-004 -1.1812E-004  6.2918E-004 -2.8018E-004  8.5869E-004
 -2.4460E-004  1.0127E-004  9.6025E-004 -9.7656E-004 -2.4861E-003  3.0342E-003  1.2702E-004 -2.7152E-005
  4.2608E-004 -8.7327E-004  2.7781E-003 -5.1201E-003 -3.9882E-003  5.4716E-003  6.3391E-005  1.4146E-004
  3.9827E-004 -7.1885E-004  1.3856E-003 -2.5930E-003 -1.2007E-003  2.1872E-003  4.3251E-004 -9.1582E-004
  2.2366E-003 -3.7501E-003  1.4171E-003 -3.0558E-003 -3.9912E-003  6.0962E-003  9.0533E-004  2.4120E-004
 -1.1293E-005 -1.2186E-004  4.6604E-004 -1.1130E-003 -3.6737E-004  8.2591E-004 -2.3909E-004  4.4422E-004
  1.5036E-004 -1.5177E-004  9.2959E-004 -1.9290E-003 -1.0970E-003  1.9240E-003 -5.3840E-004  1.2300E-003
  8.6117E-006 -4.2222E-005  2.9057E-004 -1.0208E-003 -6.4323E-004  1.6781E-003 -5.1664E-004  1.2967E-003
 -1.0356E-003  2.1228E-003  3.9030E-004 -8.6928E-004 -1.9422E-003  4.3097E-003 -1.3465E-003  3.1008E-003
  1.1256E-004 -4.0929E-005  2.2511E-004 -2.8087E-004 -4.4977E-004  4.4539E-004  1.7393E-006  3.7289E-006
  1.4869E-004 -3.2594E-004  9.3313E-004 -1.8322E-003 -5.4979E-004  9.9413E-004 -1.4303E-004  2.8950E-004
 -3.3973E-005  1.8055E-004  6.8710E-004 -1.1051E-003 -7.8614E-004  1.3379E-003 -5.6216E-005 -5.2195E-005
  5.3454E-004 -6.2994E-004  9.6429E-004 -2.0396E-003 -5.0142E-004  9.9813E-004 -2.0099E-004  2.8697E-004
