# Synthetic data set DSM1 from Dublin Institute (2008)
# Period(s) Code GG_Lat GG_Lon X(m) Y(m) Z(m) Component Real Imag Error
> Full_Impedance
> exp(+i\omega t)
> Ohm
>   0.00
>   0.000   0.000
> 9 100
5.600000E-01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXX    2.242600E-06    9.131900E-07    1.866875E-03
5.600000E-01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXY   -2.141900E-06    2.564500E-02    1.866875E-03
5.600000E-01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYX    2.676300E-02   -2.612100E-02    1.866875E-03
5.600000E-01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYY   -2.706000E-02   -5.616600E-07    1.866875E-03
1.800000E+00 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXX   -5.334400E-06    7.964900E-06    1.043440E-03
1.800000E+00 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXY   -2.437700E-06    1.472900E-02    1.043440E-03
1.800000E+00 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYX    1.471700E-02   -1.480100E-02    1.043440E-03
1.800000E+00 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYY   -1.477900E-02   -1.259300E-07    1.043440E-03
5.600000E+00 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXX    6.057200E-06   -4.131700E-06    6.186369E-04
5.600000E+00 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXY    5.142700E-05    8.621500E-03    6.186369E-04
5.600000E+00 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYX    8.719300E-03   -8.649600E-03    6.186369E-04
5.600000E+00 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYY   -9.002600E-03    5.119600E-06    6.186369E-04
1.800000E+01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXX    3.100400E-05   -2.637500E-05    3.332845E-04
1.800000E+01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXY   -4.998600E-06    4.146900E-03    3.332845E-04
1.800000E+01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYX    5.355500E-03   -3.644300E-03    3.332845E-04
1.800000E+01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYY   -5.454300E-03    1.624400E-05    3.332845E-04
5.600000E+01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXX    8.238300E-05   -4.304100E-05    1.528729E-04
5.600000E+01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXY    7.976600E-05    1.655100E-03    1.528729E-04
5.600000E+01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYX    2.784200E-03   -1.450000E-03    1.528729E-04
5.600000E+01 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYY   -2.495400E-03   -5.226100E-05    1.528729E-04
1.800000E+02 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXX    3.982600E-05   -1.358900E-04    6.812797E-05
1.800000E+02 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXY    1.848000E-05    7.149000E-04    6.812797E-05
1.800000E+02 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYX    1.189100E-03   -7.860400E-04    6.812797E-05
1.800000E+02 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYY   -1.082900E-03   -1.351400E-04    6.812797E-05
5.600000E+02 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXX   -3.273700E-05   -9.923000E-05    3.485788E-05
5.600000E+02 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXY   -3.680700E-05    4.362500E-04    3.485788E-05
5.600000E+02 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYX    5.271500E-04   -4.536600E-04    3.485788E-05
5.600000E+02 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYY   -5.465600E-04   -1.229500E-04    3.485788E-05
1.800000E+03 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXX   -4.418300E-05   -5.720800E-05    1.901847E-05
1.800000E+03 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXY   -3.710800E-05    2.654700E-04    1.901847E-05
1.800000E+03 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYX    2.763200E-04   -2.500900E-04    1.901847E-05
1.800000E+03 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYY   -2.828800E-04   -7.091500E-05    1.901847E-05
5.600000E+03 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXX   -3.175300E-05   -3.247700E-05    1.063664E-05
5.600000E+03 G07    0.000    0.000    -7500.000     7500.000        0.000 ZXY   -2.610800E-05    1.532400E-04    1.063664E-05
5.600000E+03 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYX    1.554200E-04   -1.407000E-04    1.063664E-05
5.600000E+03 G07    0.000    0.000    -7500.000     7500.000        0.000 ZYY   -1.523000E-04   -3.923900E-05    1.063664E-05
5.600000E-01 A08    0.000    0.000    22500.000    12500.000        0.000 ZXX    1.004300E-04   -1.844000E-05    1.990393E-03
5.600000E-01 A08    0.000    0.000    22500.000    12500.000        0.000 ZXY   -7.736500E-05    2.622500E-02    1.990393E-03
5.600000E-01 A08    0.000    0.000    22500.000    12500.000        0.000 ZYX    2.915700E-02   -2.740800E-02    1.990393E-03
